dataset,model,seed,method,AUROC_error,ECE,ARC_area,AvUC
cifar10,efficientnetv2_s,42,entropy,0.7387548015918978,0.13885335048735142,0.8168849558134623,0.35164231681596503
cifar10,efficientnetv2_s,42,gradient,0.7750781746533739,0.13885335048735142,0.8635370355587801,0.2989428360804394
cifar10,efficientnetv2_s,42,hybrid,0.7456277911387452,0.13885335048735142,0.8235222874413392,0.32529257642142473
cifar10,mobilenetv3_small,42,entropy,0.7404147914777034,0.0931285274475813,0.8282031156849458,0.3520425964627415
cifar10,mobilenetv3_small,42,gradient,0.7754286140911109,0.0931285274475813,0.8765355440896057,0.3073006542715477
cifar10,mobilenetv3_small,42,hybrid,0.7750133703114845,0.0931285274475813,0.862315001858125,0.32967162526100874
cifar10,shufflenetv2_0_5,42,entropy,0.7557971968474457,0.08576544007956981,0.8391386723487778,0.35574416202493014
cifar10,shufflenetv2_0_5,42,gradient,0.7988248080211442,0.08576544007956981,0.8881648051001565,0.2847658125663525
cifar10,shufflenetv2_0_5,42,hybrid,0.7861938054613262,0.08576544007956981,0.8659118811326726,0.3202549873545766
cifar10-c,efficientnetv2_s,42,entropy,0.7228161275694611,0.19971960370093583,0.7420150173420466,0.3908008782977889
cifar10-c,efficientnetv2_s,42,gradient,0.7471956626732636,0.19971960370093583,0.7926600528841823,0.38465588070379775
cifar10-c,efficientnetv2_s,42,hybrid,0.7248377426823749,0.19971960370093583,0.7443646484584842,0.38772837950539235
cifar10-c,mobilenetv3_small,42,entropy,0.7258608743600717,0.1529536628288658,0.7554956255741805,0.3861135531066966
cifar10-c,mobilenetv3_small,42,gradient,0.7471643385619423,0.1529536628288658,0.8074097442626146,0.36760286934408676
cifar10-c,mobilenetv3_small,42,hybrid,0.7516444545890659,0.1529536628288658,0.7908648534951044,0.37685821120937013
cifar10-c,shufflenetv2_0_5,42,entropy,0.7158303849105528,0.1786053323515936,0.726534211894439,0.4065710940171294
cifar10-c,shufflenetv2_0_5,42,gradient,0.749164443434847,0.1786053323515936,0.7858684158523574,0.3895984540002858
cifar10-c,shufflenetv2_0_5,42,hybrid,0.7413807943080875,0.1786053323515936,0.7591624790365139,0.39808477403764664
cifar100,efficientnetv2_s,42,entropy,0.7672794041554457,0.15510520298033953,0.5397766703523051,0.4394482873073779
cifar100,efficientnetv2_s,42,gradient,0.6644224413193524,0.15510520298033953,0.4745359800630716,0.6415470932346711
cifar100,efficientnetv2_s,42,hybrid,0.7651233021208756,0.15510520298033953,0.5406479366668155,0.5404976901642978
cifar100,mobilenetv3_small,42,entropy,0.777353488372093,0.04657407312318683,0.6563843427858884,0.4050543163070455
cifar100,mobilenetv3_small,42,gradient,0.5310983068135454,0.04657407312318683,0.47560737800485403,0.5316607991198893
cifar100,mobilenetv3_small,42,hybrid,0.7491812117503059,0.04657407312318683,0.6395628077022302,0.46835755769032983
cifar100,shufflenetv2_0_5,42,entropy,0.773941385738247,0.0541560914773494,0.660712323989173,0.4071003836374497
cifar100,shufflenetv2_0_5,42,gradient,0.5961297216807708,0.0541560914773494,0.5249392385354252,0.5133621647652239
cifar100,shufflenetv2_0_5,42,hybrid,0.7569570234884995,0.0541560914773494,0.6509138501398457,0.46023127431087196
cifar100-c,efficientnetv2_s,42,entropy,0.75638853755075,0.18669336853493987,0.44757569803206104,0.44524778637258644
cifar100-c,efficientnetv2_s,42,gradient,0.6557273150959134,0.18669336853493987,0.38981035798106056,0.7072891535052374
cifar100-c,efficientnetv2_s,42,hybrid,0.755576581684771,0.18669336853493987,0.44915580878954603,0.576268469935832
cifar100-c,mobilenetv3_small,42,entropy,0.7617715984744577,0.0952499944531604,0.52982867807206,0.41229352127650176
cifar100-c,mobilenetv3_small,42,gradient,0.5366299477466189,0.0952499944531604,0.3685648422634772,0.5771883533953885
cifar100-c,mobilenetv3_small,42,hybrid,0.7347242378754308,0.0952499944531604,0.5145046388570845,0.49474093731669216
cifar100-c,shufflenetv2_0_5,42,entropy,0.7527317776683856,0.12472938367347969,0.4957628113326393,0.4183630854623074
cifar100-c,shufflenetv2_0_5,42,gradient,0.5867489950278012,0.12472938367347969,0.3701793279492738,0.5926881240018766
cifar100-c,shufflenetv2_0_5,42,hybrid,0.7405959743030099,0.12472938367347969,0.4921371606026363,0.5055256047435399
tinyimagenet,efficientnetv2_s,42,entropy,0.7647847871542983,0.1392682358369231,0.4794314969254114,0.4445723716309294
tinyimagenet,efficientnetv2_s,42,gradient,0.6244722240079272,0.1392682358369231,0.3900439213718727,0.5401820269905031
tinyimagenet,efficientnetv2_s,42,hybrid,0.7346111355101846,0.1392682358369231,0.462776260037027,0.492377199299261
tinyimagenet,mobilenetv3_small,42,entropy,0.7709250684172299,0.032611150393262504,0.5903252397149891,0.4035647254784999
tinyimagenet,mobilenetv3_small,42,gradient,0.46521067398946836,0.032611150393262504,0.3454848721226828,0.5578795480931178
tinyimagenet,mobilenetv3_small,42,hybrid,0.7338286440077585,0.032611150393262504,0.5613157250029769,0.48072213670499625
tinyimagenet,shufflenetv2_0_5,42,entropy,0.7689127553479969,0.03838897275663912,0.5500743632083169,0.4034028907494736
tinyimagenet,shufflenetv2_0_5,42,gradient,0.5184419917153883,0.03838897275663912,0.35690452741102147,0.5614581570829265
tinyimagenet,shufflenetv2_0_5,42,hybrid,0.7284008162438853,0.03838897275663912,0.5257217992288783,0.48243052407149223
tinyimagenet-c,efficientnetv2_s,42,entropy,0.7335895735998609,0.2285272784418861,0.1891627018418087,0.42855918599154674
tinyimagenet-c,efficientnetv2_s,42,gradient,0.5841811798005081,0.2285272784418861,0.1461070139542262,0.6485599906445351
tinyimagenet-c,efficientnetv2_s,42,hybrid,0.709140650396844,0.2285272784418861,0.1868543909250791,0.5385595883070454
tinyimagenet-c,mobilenetv3_small,42,entropy,0.7262641681117497,0.15609783234022806,0.23640330546476668,0.3838335535423906
tinyimagenet-c,mobilenetv3_small,42,gradient,0.45170575210666714,0.15609783234022806,0.1136498741650978,0.6604143034071246
tinyimagenet-c,mobilenetv3_small,42,hybrid,0.6799759345433699,0.15609783234022806,0.2205213472067684,0.5221239284706066
tinyimagenet-c,shufflenetv2_0_5,42,entropy,0.7096975751014816,0.18594013434012732,0.17746864581256078,0.3878984972222513
tinyimagenet-c,shufflenetv2_0_5,42,gradient,0.546022684812375,0.18594013434012732,0.111739831784889,0.7202042750182419
tinyimagenet-c,shufflenetv2_0_5,42,hybrid,0.6972406788876135,0.18594013434012732,0.17473246085543107,0.5540513861200884
