dataset,model,seed,epochs,batch_size,lr,weight_decay,momentum,test_acc,test_loss,checkpoint_path,AUROC_error_entropy,AUROC_error_gradient,AUROC_error_hybrid,ECE_entropy,ECE_gradient,ECE_hybrid,ARC_area_entropy,ARC_area_gradient,ARC_area_hybrid,AvUC_entropy,AvUC_gradient,AvUC_hybrid
cifar10,efficientnetv2_s,42,50,64,0.05,0.0001,0.9,0.7007,1.116307307624817,./outputs\cifar10_efficientnetv2_s_e50_bs64.pth,0.7387548015918978,0.7750781746533739,0.7456277911387452,0.13885335048735142,0.13885335048735142,0.13885335048735142,0.8168849558134623,0.8635370355587801,0.8235222874413392,0.35164231681596503,0.2989428360804394,0.32529257642142473
cifar10,mobilenetv3_small,42,50,64,0.05,0.0001,0.9,0.7179,1.0294189929008484,./outputs\cifar10_mobilenetv3_small_e50_bs64.pth,0.7404147914777034,0.7754286140911109,0.7750133703114845,0.0931285274475813,0.0931285274475813,0.0931285274475813,0.8282031156849458,0.8765355440896057,0.862315001858125,0.3520425964627415,0.3073006542715477,0.32967162526100874
cifar10,shufflenetv2_0_5,42,50,64,0.05,0.0001,0.9,0.7219,0.9772142937660218,./outputs\cifar10_shufflenetv2_0_5_e50_bs64.pth,0.7557971968474457,0.7988248080211442,0.7861938054613262,0.08576544007956981,0.08576544007956981,0.08576544007956981,0.8391386723487778,0.8881648051001565,0.8659118811326726,0.35574416202493014,0.2847658125663525,0.3202549873545766
cifar10-c,efficientnetv2_s,42,50,64,0.05,0.0001,0.9,0.6145736842105263,1.4202228362434788,./outputs\cifar10-c_efficientnetv2_s_e50_bs64.pth,0.7228161275694611,0.7471956626732636,0.7248377426823749,0.19971960370093583,0.19971960370093583,0.19971960370093583,0.7420150173420466,0.7926600528841823,0.7443646484584842,0.3908008782977889,0.38465588070379775,0.38772837950539235
cifar10-c,mobilenetv3_small,42,50,64,0.05,0.0001,0.9,0.6285631578947368,1.3266043659310591,./outputs\cifar10-c_mobilenetv3_small_e50_bs64.pth,0.7258608743600717,0.7471643385619423,0.7516444545890659,0.1529536628288658,0.1529536628288658,0.1529536628288658,0.7554956255741805,0.8074097442626146,0.7908648534951044,0.3861135531066966,0.36760286934408676,0.37685821120937013
cifar10-c,shufflenetv2_0_5,42,50,64,0.05,0.0001,0.9,0.598121052631579,1.42364365818626,./outputs\cifar10-c_shufflenetv2_0_5_e50_bs64.pth,0.7158303849105528,0.749164443434847,0.7413807943080875,0.1786053323515936,0.1786053323515936,0.1786053323515936,0.726534211894439,0.7858684158523574,0.7591624790365139,0.4065710940171294,0.3895984540002858,0.39808477403764664
cifar100,efficientnetv2_s,42,50,64,0.05,0.0001,0.9,0.3222,2.948147755050659,./outputs\cifar100_efficientnetv2_s_e50_bs64.pth,0.7672794041554457,0.6644224413193524,0.7651233021208756,0.15510520298033953,0.15510520298033953,0.15510520298033953,0.5397766703523051,0.4745359800630716,0.5406479366668155,0.4394482873073779,0.6415470932346711,0.5404976901642978
cifar100,mobilenetv3_small,42,50,64,0.05,0.0001,0.9,0.43,2.318538468551636,./outputs\cifar100_mobilenetv3_small_e50_bs64.pth,0.777353488372093,0.5310983068135454,0.7491812117503059,0.04657407312318683,0.04657407312318683,0.04657407312318683,0.6563843427858884,0.47560737800485403,0.6395628077022302,0.4050543163070455,0.5316607991198893,0.46835755769032983
cifar100,shufflenetv2_0_5,42,50,64,0.05,0.0001,0.9,0.4329,2.323670304107666,./outputs\cifar100_shufflenetv2_0_5_e50_bs64.pth,0.773941385738247,0.5961297216807708,0.7569570234884995,0.0541560914773494,0.0541560914773494,0.0541560914773494,0.660712323989173,0.5249392385354252,0.6509138501398457,0.4071003836374497,0.5133621647652239,0.46023127431087196
cifar100-c,efficientnetv2_s,42,50,64,0.05,0.0001,0.9,0.25682105263157895,3.376700360408582,./outputs\cifar100-c_efficientnetv2_s_e50_bs64.pth,0.75638853755075,0.6557273150959134,0.755576581684771,0.18669336853493987,0.18669336853493987,0.18669336853493987,0.44757569803206104,0.38981035798106056,0.44915580878954603,0.44524778637258644,0.7072891535052374,0.576268469935832
cifar100-c,mobilenetv3_small,42,50,64,0.05,0.0001,0.9,0.32236315789473685,2.8730885762867175,./outputs\cifar100-c_mobilenetv3_small_e50_bs64.pth,0.7617715984744577,0.5366299477466189,0.7347242378754308,0.0952499944531604,0.0952499944531604,0.0952499944531604,0.52982867807206,0.3685648422634772,0.5145046388570845,0.41229352127650176,0.5771883533953885,0.49474093731669216
cifar100-c,shufflenetv2_0_5,42,50,64,0.05,0.0001,0.9,0.29812105263157895,3.079716190077129,./outputs\cifar100-c_shufflenetv2_0_5_e50_bs64.pth,0.7527317776683856,0.5867489950278012,0.7405959743030099,0.12472938367347969,0.12472938367347969,0.12472938367347969,0.4957628113326393,0.3701793279492738,0.4921371606026363,0.4183630854623074,0.5926881240018766,0.5055256047435399
tinyimagenet,efficientnetv2_s,42,50,64,0.05,0.0001,0.9,0.2758,3.359251319885254,./outputs\tinyimagenet_efficientnetv2_s_e50_bs64.pth,0.7647847871542983,0.6244722240079272,0.7346111355101846,0.1392682358369231,0.1392682358369231,0.1392682358369231,0.4794314969254114,0.3900439213718727,0.462776260037027,0.4445723716309294,0.5401820269905031,0.492377199299261
tinyimagenet,mobilenetv3_small,42,50,64,0.05,0.0001,0.9,0.3651,2.7360401012420654,./outputs\tinyimagenet_mobilenetv3_small_e50_bs64.pth,0.7709250684172299,0.46521067398946836,0.7338286440077585,0.032611150393262504,0.032611150393262504,0.032611150393262504,0.5903252397149891,0.3454848721226828,0.5613157250029769,0.4035647254784999,0.5578795480931178,0.48072213670499625
tinyimagenet,shufflenetv2_0_5,42,50,64,0.05,0.0001,0.9,0.3331,2.9568953720092774,./outputs\tinyimagenet_shufflenetv2_0_5_e50_bs64.pth,0.7689127553479969,0.5184419917153883,0.7284008162438853,0.03838897275663912,0.03838897275663912,0.03838897275663912,0.5500743632083169,0.35690452741102147,0.5257217992288783,0.4034028907494736,0.5614581570829265,0.48243052407149223
tinyimagenet-c,efficientnetv2_s,42,50,64,0.05,0.0001,0.9,0.09843333333333333,5.054373860967,./outputs\tinyimagenet-c_efficientnetv2_s_e50_bs64.pth,0.7335895735998609,0.5841811798005081,0.709140650396844,0.2285272784418861,0.2285272784418861,0.2285272784418861,0.1891627018418087,0.1461070139542262,0.1868543909250791,0.42855918599154674,0.6485599906445351,0.5385595883070454
tinyimagenet-c,mobilenetv3_small,42,50,64,0.05,0.0001,0.9,0.12689733333333333,4.574265942123413,./outputs\tinyimagenet-c_mobilenetv3_small_e50_bs64.pth,0.7262641681117497,0.45170575210666714,0.6799759345433699,0.15609783234022806,0.15609783234022806,0.15609783234022806,0.23640330546476668,0.1136498741650978,0.2205213472067684,0.3838335535423906,0.6604143034071246,0.5221239284706066
tinyimagenet-c,shufflenetv2_0_5,42,50,64,0.05,0.0001,0.9,0.09590666666666667,4.963702599756877,./outputs\tinyimagenet-c_shufflenetv2_0_5_e50_bs64.pth,0.7096975751014816,0.546022684812375,0.6972406788876135,0.18594013434012732,0.18594013434012732,0.18594013434012732,0.17746864581256078,0.111739831784889,0.17473246085543107,0.3878984972222513,0.7202042750182419,0.5540513861200884
